id,discovery_scene_id,fate_aspect,clue_type,target_character,description,difficulty,prerequisites
c001,1,identity,dialogue,martinez,Martinez name called out,1,"[]"
c002,1,identity,voice,bradley,Tom's voice identifies him,1,"[]"
c003,1,identity,visual_appearance,bradley,Engineer uniform visible,1,"[]"
c004,1,cause,contextual,martinez,Sabotaging the servers,2,"[]"
c005,1,identity,visual_appearance,wilson,Visible through window outside,2,"[]"
c006,1,cause,timeline,wilson,Dies immediately after explosion,2,"[""bradley""]"
c007,2,identity,dialogue,wilson,James identified by name,1,"[]"
c008,2,identity,dialogue,chen,Sarah identified by name,1,"[]"
c009,2,identity,visual_appearance,chen,Commander insignia on uniform,1,"[]"
c010,2,identity,voice,wilson,Voice matches meteorologist from briefing,2,"[]"
c011,2,identity,role_mention,chen,Station Commander trying to override,1,"[]"
c012,3,identity,dialogue,miller,Robert identified in dialogue,1,"[]"
c013,3,identity,visual_appearance,miller,Cook apron visible,1,"[]"
c014,3,cause,visual_appearance,petrov,Holding flare gun,2,"[]"
c015,3,identity,relationship,santos,Maria shown with Robert in East Wing,2,"[""miller""]"
c016,3,identity,relationship,miller,Robert shown with Maria in East Wing,2,"[""santos""]"
c017,3,identity,contextual,santos,Only female in East Wing with Robert,2,"[""miller"", ""park"", ""chen""]"
c018,4,identity,dialogue,santos,Maria calls out Bob (Robert),2,"[""miller""]"
c019,4,identity,visual_appearance,mueller,Maintenance uniform and wrench,1,"[]"
c020,4,identity,visual_appearance,park,Communications equipment nearby,2,"[]"
c021,5,identity,dialogue,petrov,Alex mentioned by name,1,"[]"
c022,5,identity,contextual,park,Working on radio equipment,1,"[]"
c023,5,identity,visual_appearance,martinez,Watching from doorway,3,"[]"
c024,5,identity,role_mention,park,Communications Officer at radio,1,"[]"
c025,5,perpetrator,relationship,petrov,Alex shown as Robert's killer,2,"[""miller""]"
c026,6,perpetrator,dialogue,martinez,Confesses wanting Sarah's job,1,"[""chen""]"
c027,6,identity,dialogue,martinez,Martinez voice in confession,1,"[""chen""]"
c028,6,cause,visual_appearance,petrov,Hanging in background,1,"[]"
c029,6,identity,visual_appearance,petrov,Alex identified hanging,1,"[]"
c030,6,identity,process_of_elimination,mueller,Last person alive,3,"[""martinez"", ""petrov""]"
c031,6,perpetrator,process_of_elimination,mueller,Final perpetrator by elimination,3,"[""martinez"", ""petrov""]"
c032,1,identity,voice,bradley,Distinct voice pattern,2,"[]"
c033,1,identity,role_mention,bradley,Identified as Chief Engineer,1,"[]"